Date,Open,High,Low,Close,Adj Close,Volume
2021-01-05,81600.000000,83900.000000,81600.000000,83900.000000,82767.179688,35335669
2021-01-06,83300.000000,84500.000000,82100.000000,82200.000000,81090.140625,42089013
2021-01-07,82800.000000,84200.000000,82700.000000,82900.000000,81780.695313,32644642
2021-01-08,83300.000000,90000.000000,83000.000000,88800.000000,87601.031250,59013307
2021-01-11,90000.000000,96800.000000,89500.000000,91000.000000,89771.320313,90306177
2021-01-12,90300.000000,91400.000000,87800.000000,90600.000000,89376.726563,48682416
2021-01-13,89800.000000,91200.000000,89100.000000,89700.000000,88488.875000,36068848
2021-01-14,88700.000000,90000.000000,88700.000000,89700.000000,88488.875000,26393970
2021-01-15,89800.000000,91800.000000,88000.000000,88000.000000,86811.828125,33431809
2021-01-18,86600.000000,87300.000000,84100.000000,85000.000000,83852.328125,43227951
2021-01-19,84500.000000,88000.000000,83600.000000,87000.000000,85825.335938,39895044
2021-01-20,89000.000000,89000.000000,86500.000000,87200.000000,86022.632813,25211127
2021-01-21,87500.000000,88600.000000,86500.000000,88100.000000,86910.476563,25318011
2021-01-22,89000.000000,89700.000000,86800.000000,86800.000000,85628.031250,30861661
2021-01-25,87000.000000,89900.000000,86300.000000,89400.000000,88192.929688,27258534
2021-01-26,88800.000000,89200.000000,86500.000000,86700.000000,85529.382813,33178936
2021-01-27,86600.000000,87700.000000,85600.000000,85600.000000,84444.234375,26423070
2021-01-28,83200.000000,85600.000000,83200.000000,83700.000000,82569.882813,31859808
2021-01-29,84500.000000,85000.000000,82000.000000,82000.000000,80892.835938,39615978
2021-02-01,81700.000000,83400.000000,81000.000000,83000.000000,81879.335938,28046832
2021-02-02,84100.000000,86400.000000,83700.000000,84400.000000,83260.429688,26302077
2021-02-03,84800.000000,85400.000000,83400.000000,84600.000000,83457.734375,22112205
2021-02-04,83500.000000,83800.000000,82100.000000,82500.000000,81386.085938,24171688
2021-02-05,83100.000000,84000.000000,82500.000000,83500.000000,82372.593750,18036835
2021-02-08,83800.000000,84200.000000,83000.000000,83000.000000,81879.335938,15338765
2021-02-09,84000.000000,84800.000000,82700.000000,82700.000000,81583.390625,20898332
2021-02-10,82600.000000,82600.000000,81600.000000,81600.000000,80498.242188,23025766
2021-02-15,83800.000000,84500.000000,83300.000000,84200.000000,83063.132813,23529706
2021-02-16,84500.000000,86000.000000,84200.000000,84900.000000,83753.679688,20483100
2021-02-17,83900.000000,84200.000000,83000.000000,83200.000000,82076.640625,18307735
2021-02-18,83200.000000,83600.000000,82100.000000,82100.000000,80991.492188,21327683
2021-02-19,82300.000000,82800.000000,81000.000000,82600.000000,81484.742188,25880879
2021-02-22,83800.000000,84200.000000,82200.000000,82200.000000,81090.140625,25419886
2021-02-23,81200.000000,82900.000000,81100.000000,82000.000000,80892.835938,20587314
2021-02-24,81800.000000,83600.000000,81300.000000,82000.000000,80892.835938,26807651
2021-02-25,84000.000000,85400.000000,83000.000000,85300.000000,84148.289063,34155986
2021-02-26,82800.000000,83400.000000,82000.000000,82500.000000,81386.085938,38520800
2021-03-02,85100.000000,85300.000000,83000.000000,83600.000000,82471.226563,33498180
2021-03-03,83500.000000,84000.000000,82800.000000,84000.000000,82865.835938,19882132
2021-03-04,82600.000000,83200.000000,82200.000000,82400.000000,81287.437500,24348331
2021-03-05,81100.000000,82600.000000,81100.000000,82100.000000,80991.492188,20508971
2021-03-08,82900.000000,83000.000000,81600.000000,82000.000000,80892.835938,17641256
2021-03-09,81400.000000,81900.000000,80600.000000,81400.000000,80300.937500,25420764
2021-03-10,82400.000000,82500.000000,80700.000000,80900.000000,79807.687500,20038422
2021-03-11,81000.000000,82500.000000,81000.000000,82000.000000,80892.835938,23818297
